id,imagenum,year,keywords,_inventar_nr,_titel,_personen,_funktion,_durchmesser,_abmessungen,_gewicht,_material,_literatur,_ortdatierung,_beschreibung,_schlagworte
51736,2,1850,"Preußen,Friedrich Wilhelm IV.,König von Preußen,Ausbeutemünze,Münze",X 2627,"Ausbeutetaler, Königreich Preußen, Friedrich Wilhelm IV. (1840-1861), 1854",,,"3,43 cm",,"22,3 g",Silber,"Arnold, Paul / Küthmann, Harald / Steinhilber, Dirk: Grosser deutscher Münzkatalog von 1800 bis heute, Augsburg 1997, S. 232, lfd. Nr. 77. 
 Steguweit, Wolfgang / Kluge, Bernd: Suum cuique. Medailllenkunst und Münzprägung in Brandenburg-Preußen, Berlin 2008, Vgl.: S. 266, lfd. Nr. 227. 
 Weyl, Adolph: Die Paul Henckel'sche Sammlung Brandenburg-Preussischer Münzen und Medaillen, Teil 1, Mark Brandenburg, Berlin 1876, S. 250, lfd. Nr. 2633. 
 Nachtrag zur Paul Henckel'schen Sammlung Brandenburg-Preussischer Münzen und Medaillen, bearb. v. Adolph Weyl, Berlin 1877, S. 3; S. 11; S. 33. 
 Jaeger, Kurt: Die Münzprägungen der deutschen Staaten vor Einführung der Reichswährung. (1806 - 1873), Bd. 9, Königreich Preußen 1786 - 1873, 2. Aufl., Basel 1970,  Nr. 81 o. 82(?)","Berlin, 1854","Vs: Umschrift unter Stabrand und Perlkreis: FRIEDR. WILHELM IV KOENIG V. PREUSSEN 
Kopf des Königs nach rechts; darunter Münzzeichen: A 

Rs: Umschrift unter Stabrand und Perlkreis: EIN THALER XIV EINE FEINE MARK 1854 
Im Feld: SEGEN DES / MANSFELDER / BERGBAUES 
Randschrift: GOTT [Ranke] [Kreuz] [Ranke] MIT [Ranke] [Kreuz] [Ranke] UNS [Ranke] [Kreuz] [Ranke]","Preußen
Friedrich Wilhelm IV., König von Preußen
Ausbeutemünze
Münze
"
51784,2,1680,"Brandenburg,Friedrich Wilhelm,Kurfürst von Brandenburg,Münze",X 2467,"Gulden (Zweidritteltaler), Kurfürstentum Brandenburg, Friedrich Wilhelm (1640-1688), 1688 ","Schneider, Lorenz Christoph; Münzmeister
 ",Münzmeister,"3,76 cm",,"17,4 g",Silber,"Bahrfeldt, Emil: Das Münzwesen der Mark Brandenburg, Bd. 3, Unter Friedrich Wilhelm, dem Großen Kurfürsten und Kurfürst Friedrich III. 1640-1701, Neudr. d. Ausg. Halle a. d. Saale 1913, Vgl. S. 124, lfd. Nr. 332. 
 Weyl, Adolph: Die Paul Henckel'sche Sammlung Brandenburg-Preussischer Münzen und Medaillen, Teil 1, Mark Brandenburg, Berlin 1876, Vgl. S.99, lfd. Nr. 998. 
 Nachtrag zur Paul Henckel'schen Sammlung Brandenburg-Preussischer Münzen und Medaillen, bearb. v. Adolph Weyl, Berlin 1877, S. 8, S. 30. 
 Die Münzen Friedrich Wilhelms des Großen Kurfürsten und Friedrichs III. von Brandenburg. Auf Grundlage der Sammlung des Königlichen Münzkabinetts, bearb. v. Friedrich Freiherr von Schrötter, Berlin 1913, Nachdruck Bielefeld 1978., S. 44, lfd. Nr. 306","Berlin, 1688","Vs: Umschrift unter Strichkreis: FRID . WILH D . G · M · B = S · R · I · ARCHIC & EL 
Brustbild des Kurfürsten mit antikem Mantel nach rechts  

Rs: Umschrift unter Strichkreis: CHVRF · BRAND · = LAND · MVNZ · 1688 · 
Kurhut über zehnfeldigem Wappenschild, unten im Oval 2/3, an den Seiten LC = S","Brandenburg
Friedrich Wilhelm, Kurfürst von Brandenburg
Münze
"
51889,2,1760,"Preußen,Friedrich II.,König von Preußen,Handelsmünze,Münze",X 2542,"Bancotaler, Königreich Preußen, Friedrich II. (1740-1786), 1765",,,"4,23 cm",,"28,3 g",Silber,"Das Preußische Münzwesen im 18. Jahrhundert, Bd. 1, H. 2, Die Münzen aus der Zeit des Königs Friedrich II. des Großen, bearb. v. Friedrich Freiherr von Schrötter, Berlin 1904 (Acta Borussica. Denkmäler der Preußischen Staatsverwaltung im 18. Jahrhundert)., S. 119, Nr. 1645. 
 Weyl, Adolph: Die Paul Henckel'sche Sammlung Brandenburg-Preussischer Münzen und Medaillen, Teil 1, Mark Brandenburg, Berlin 1876, S. 168, lfd. Nr. 1690. 
 Nachtrag zur Paul Henckel'schen Sammlung Brandenburg-Preussischer Münzen und Medaillen, bearb. v. Adolph Weyl, Berlin 1877, S. 3; S. 22. 
 Steguweit, Wolfgang / Kluge, Bernd: Suum cuique. Medailllenkunst und Münzprägung in Brandenburg-Preußen, Berlin 2008, S. 262, lfd. Nr. 204","Berlin, 1765","Vs: Aufschrift unter Strichrand: FRIDERICUS BORUSSORUM REX 
Brustbild des Königs nach rechts mit Lorbeerkranz, Schuppenharnisch und Hermelinmantel 
RS: Aufschrift unter Strichrand: EIN BANCO THALER 
Gekrönter Adler auf Trophäen; im Abschnitt 17 A 65 
Schräger Riffelrand","Preußen
Friedrich II., König von Preußen
Handelsmünze
Münze
"
51965,2,1690,"Brandenburg,Friedrich I.,König in Preußen,Münze",X 2473,"Gulden, Zweidritteltaler, Kurfürstentum Brandenburg, Friedrich III. (1688-1701), 1692","Schneider, Lorenz Christoph; Münzmeister
 ",Münzmeister,"3,65 cm",,"17,6 g",Silber,"Bahrfeldt, Emil: Das Münzwesen der Mark Brandenburg, Bd. 3, Unter Friedrich Wilhelm, dem Großen Kurfürsten und Kurfürst Friedrich III. 1640-1701, Neudr. d. Ausg. Halle a. d. Saale 1913, S. 158, lfd. Nr. 480c","Berlin, 1692","Vs: Umschrift unter Strichkreis: FRIDER · III · D · G · M · B = S · R · I · ARC & EL · 
Brustbild des Kurfürsten im antiken Harnisch nach rechts, auf der Brust Ranke, darüber vier Perlen 

Rs: Umschrift unter Strichkreis: MONETA NOVA = BRANDENB · 1692 · 
Unter der Kurkrone neunfeldiges Wappenschild, im eingebogenen Mittelschild das Zepter; unten in Klammern 2/3, an den Seiten L C = S","Brandenburg
Friedrich I., König in Preußen
Münze
"
52076,2,1650,"Georg III.,Herzog von Brieg,Ludwig IV.,Herzog von Schlesien-Liegnitz-Brieg,Christian,Herzog von Liegnitz-Brieg,Schlesien-Liegnitz-Brieg,Münze",X 2713,"Taler, Königreich Böhmen, Herzogtümer Schlesien-Brieg-Liegnitz-Wohlau, Georg III., Ludwig IV, Christian (1639-1663), 1658",,,"4,51 cm",,"28,7 g",Silber,,"Brieg, 1658","Vs: Umschrift zwischen Strichrand und Strichkreis: [Reichsapfel] D : G · GEORGIVS · LVDOVICVS · ET · CHRISTIANVS · FRATR : 
Hüftbilder der geharnischten Brüder Herzog Georg III., Herzog Ludwig IV. und Herzog Christian mit umgelegten Feldbinden und Kommandostäben nebeneinander; darunter Verziehrung 

Rs: Umschrift zwischen Strichrand und Strichkreis: [Rosette] DUCES · SILESIÆ · LIGNIC · BRE [Münzmeisterzeichen] GENS · ET · WOLAVIENSES : 1658 
Dreifach behelmtes, vierfeldriges Wappen","Georg III., Herzog von Brieg
Ludwig IV., Herzog von Schlesien-Liegnitz-Brieg
Christian, Herzog von Liegnitz-Brieg
Schlesien-Liegnitz-Brieg
Münze
"
52097,2,1530,"Preußen (Herzogtum),Albrecht,Herzog von Preußen,Münze",X 2402,"Dreigröscher, Herzogtum Preußen, Herzog Albrecht von Brandenburg (1525-1569), 1535",,,"2,31 cm",,"2,8 g",Silber,"Saurma-Jeltsch, Hugo von: Die Saurmasche Münzsammlung deutscher, schweizerischer und polnischer Gepräge. Von etwa dem Beginn der Groschenzeit bis zur Kipperperiode, Berlin 1892, Nachdruck Berlin 1986 (Transpress-Reprint), S. 127, lfd. Nr. 5052. 
 Weyl, Adolph: Die Paul Henckel'sche Sammlung Brandenburg-Preussischer Münzen und Medaillen, Teil 2, Die Provinzen Preussen, Pommern, Posen und Schlesien, Berlin 1876, S. 6, lfd. Nr. 3126",1535,"Vs: Umschrift: ALBER * D * G * MAR * BRAN * DVX * PRVSS * 
Brustbild des Herzogs im Harnisch nach rechts 

Rs: * III * / . GROSS : AR : / · TRIPLEX · / · ALBER : DVC · / · PRVSSIE · / * 1535 *","Preußen (Herzogtum)
Albrecht, Herzog von Preußen
Münze
"
52208,2,1800,"Preußen,Friedrich Wilhelm III.,König von Preußen,Münze",X 2583,"Taler, Königreich Preußen, Friedrich Wilhelm III. (1797-1840), 1809",,,"3,66 cm",,"22,2 g",Silber,"Weyl, Adolph: Die Paul Henckel'sche Sammlung Brandenburg-Preussischer Münzen und Medaillen, Teil 1, Mark Brandenburg, Berlin 1876, S. 212, lfd. Nr. 2131. 
 Nachtrag zur Paul Henckel'schen Sammlung Brandenburg-Preussischer Münzen und Medaillen, bearb. v. Adolph Weyl, Berlin 1877, S. 3; S. 22. 
 Arnold, Paul / Küthmann, Harald / Steinhilber, Dirk: Grosser deutscher Münzkatalog von 1800 bis heute, Augsburg 1997, S. 223, lfd. Nr. 11. 
 Steguweit, Wolfgang / Kluge, Bernd: Suum cuique. Medailllenkunst und Münzprägung in Brandenburg-Preußen, Berlin 2008, Vgl.: S. 264, lfd. Nr. 217. 
 Jaeger, Kurt: Die Münzprägungen der deutschen Staaten vor Einführung der Reichswährung. (1806 - 1873), Bd. 9, Königreich Preußen 1786 - 1873, 2. Aufl., Basel 1970, Nr. 33","Berlin, 1809","Vs: Umschrift: FRIEDR · WILHELM III KŒNIG VON PREUSSEN 
Kopf des Königs mit kurzen Haaren nach rechts 

Rs: Umschrift in oberer Hälfte: VIERZEHN EINE FEINE MARK 
Im unten zusammengebundenen Kranz aus Eichenzweigen: EIN / REICHS / THALER / 1809 / A 
Kettenrand","Preußen
Friedrich Wilhelm III., König von Preußen
Münze
"
52234,2,1840,"Preußen,Friedrich Wilhelm IV.,König von Preußen,Ausbeutemünze,Münze",X 2622,"Ausbeutetaler, Königreich Preußen, Friedrich Wilhelm IV. (1840-1861), 1841",,,"3,43 cm",,"22,3 g",Silber,"Jaeger, Kurt: Die Münzprägungen der deutschen Staaten vor Einführung der Reichswährung. (1806 - 1873), Bd. 9, Königreich Preußen 1786 - 1873, 2. Aufl., Basel 1970, Nr. 70. 
 Arnold, Paul / Küthmann, Harald / Steinhilber, Dirk: Grosser deutscher Münzkatalog von 1800 bis heute, Augsburg 1997, S. 232, lfd. Nr. 73. 
 Steguweit, Wolfgang / Kluge, Bernd: Suum cuique. Medailllenkunst und Münzprägung in Brandenburg-Preußen, Berlin 2008, Vgl. S. 266, lfd. Nr. 227 . 
 Weyl, Adolph: Die Paul Henckel'sche Sammlung Brandenburg-Preussischer Münzen und Medaillen, Teil 1, Mark Brandenburg, Berlin 1876, S. 242, lfd. Nr. 2494. 
 Nachtrag zur Paul Henckel'schen Sammlung Brandenburg-Preussischer Münzen und Medaillen, bearb. v. Adolph Weyl, Berlin 1877, S. 3; S. 11; S. 22","Berlin, 1841","Vs: Umschrift unter Stabrand und Perlkreis: FRIEDR. WILHELM IV KOENIG V. PREUSSEN 
Kopf des Königs nach rechts; darunter Münzzeichen: A 

Rs: Umschrift unter Stabrand und Perlkreis: EIN THALER. XIV EINE FEINE MARK 1841 
Im Feld: SEGEN DES / MANSFELDER / BERGBAUES 
Randschrift: GOTT [Ranke] [Kreuz] [Ranke] MIT [Ranke] [Kreuz] [Ranke] UNS [Ranke] [Kreuz] [Ranke]","Preußen
Friedrich Wilhelm IV., König von Preußen
Ausbeutemünze
Münze
"
52250,2,1610,"Brandenburg,Johann Sigismund,Kurfürst von Brandenburg,Münze",X 2446,"Doppeltaler, Kurfürstentum Mark Brandenburg, Kurfürst Johann Sigismund (1608-1619), 1614","Hoffmann, Melchior; Münzmeister
 ",Münzmeister,"4,3 cm",,"58,3 g",Silber,"Bahrfeldt, Emil: Das Münzwesen der Mark Brandenburg, Bd. 2, Unter den Hohenzollern bis zum Großen Kurfürsten von 1415 bis 1640, Neudr. d. Ausg. Berlin 1895, S. 287, lfd. Nr. 567b; S. 536. 
 Weyl, Adolph: Die Paul Henckel'sche Sammlung Brandenburg-Preussischer Münzen und Medaillen, Teil 1, Mark Brandenburg, Berlin 1876, S. 49, lfd. Nr. 508","Berlin, 1614","Vs: Umschrift zwischen Randstab und Perlkreis: [Zeichen Münzstätte?] IOH · SIGISM · D : G · MAR · BR · S · ROM · IMP · ARCHIC · E · EL · 
Im inneren Perlkreis geharnischtes Brustbild des Kurfürsten mit Spitzenkragen und Feldbinde nach rechts, das Zepter geschultert, die linke Hand am Schwertgriff; unter dem Brustbild 1614 

Rs: Umschrift zwischen Perlkreisen: I · PRVS · IVL · = · CLIV · MO · D · 
Durch ein fünffach behelmtes, fünfundzwanzigfeldiges Wappenschild, oben und unten geteilter innerer Perlkreis; links und rechts vom Schild Rankenwerk; rechts unten Münzmeisterzeichen Melchior Hoffmann","Brandenburg
Johann Sigismund, Kurfürst von Brandenburg
Münze
"
52349,2,1710,"Preußen,Friedrich Wilhelm I.,König in Preußen,Münze",X 2532,"Gulden, Zweidritteltaler, Königreich Preußen, Friedrich Wilhelm I. (1713-1740), Provinz Sachsen, 1715.","Halter, Heinrich Friedrich; Münzmeister
 ","Münzmeister, Medailleur","3,75 cm",,"17,1 g",Silber,"Weyl, Adolph: Die Paul Henckel'sche Sammlung Brandenburg-Preussischer Münzen und Medaillen, Teil 3, Die Provinzen Sachsen, Rheinprovinz (mit Hohenzollern), Westfalen, Hannover, Schleswig-Holstein, sowie Ansbach-Bayreuth, Neuenburg, Berlin 1876, Vgl. S. 18, lfd. Nr. 4580. 
 Nachtrag zur Paul Henckel'schen Sammlung Brandenburg-Preussischer Münzen und Medaillen, bearb. v. Adolph Weyl, Berlin 1877, S. 16; S. 27","Magdeburg, 1715","Vs: Umschrift unter schmalem Ring: FRID : WILH [: D · G] = REX · BORVSSIÆ 
Geharnischtes Brustbild des lorbeerbekränzten Königs nach rechts; ein Umhang verhüllt fast vollständig den Brustpanzer 

Rs: Innerhalb eines schmalen Ringes ein gekröntes, elffeldiges Wappen; an den Seiten die Jahreszahl 17 = 15, unten 2/3 im Oval zwischen den Münzmeisterbuchstaben [H F] = H 
schräger Rändelrand","Preußen
Friedrich Wilhelm I., König in Preußen
Münze
"
52357,2,1810,"Preußen,Friedrich Wilhelm III.,König von Preußen,Münze",X 2589,"Taler, Königreich Preußen, Friedrich Wilhelm III. (1797-1840), 1816",,,"3,43 cm",,"22,2 g",Silber,"Jaeger, Kurt: Die Münzprägungen der deutschen Staaten vor Einführung der Reichswährung. (1806 - 1873), Bd. 9, Königreich Preußen 1786 - 1873, 2. Aufl., Basel 1970, Nr. 35. 
 Arnold, Paul / Küthmann, Harald / Steinhilber, Dirk: Grosser deutscher Münzkatalog von 1800 bis heute, Augsburg 1997, S. 223, lfd. Nr. 12. 
 Weyl, Adolph: Die Paul Henckel'sche Sammlung Brandenburg-Preussischer Münzen und Medaillen, Teil 1, Mark Brandenburg, Berlin 1876, S.222, lfd. Nr. 2223. 
 Nachtrag zur Paul Henckel'schen Sammlung Brandenburg-Preussischer Münzen und Medaillen, bearb. v. Adolph Weyl, Berlin 1877, S. 3; S.22. 
 Steguweit, Wolfgang / Kluge, Bernd: Suum cuique. Medailllenkunst und Münzprägung in Brandenburg-Preußen, Berlin 2008, S. 264, lfd. Nr. 218","Berlin, 1816","Vs: Umschrift unter Stabrand und Perlkreis: FR. WILH. III = K. V. PREUSS. 
Brustbild des Königs in Uniform mit Hermelinmantel, Feldbinde, Stern und Kreuz nach links 

Rs: Stabrand und Perlkreis 
Bekrönter Adler über Pauken, Kanonenrohr und Fahnen 
Im Abschnitt: 1816 / A 
Randschrift: GOTT [Ranke] [Kreuz] [Ranke] MIT [Ranke] [Kreuz] [Ranke] UNS [Ranke] [Kreuz] [Ranke]","Preußen
Friedrich Wilhelm III., König von Preußen
Münze
"
52381,2,1630,"Johann Georg I.,Kurfürst von Sachsen,Johann,Sachsen,Reformation,Gedenkmünze,Münze",X 2701,"Gedenkmünze anläßlich der 100-Jahrfeier der Übergabe der Augsburger Konfession, 5 Dukaten, Kurfürstentum Sachsen, Johann Georg I. (1611-1656), 1630","Jakob, Hans; Münzmeister
 ",Münzmeister,"4,57 cm",,"18,7 g",Gold,"Clauß, Wieland / Kahnt, Helmut: Die sächsisch-albertinischen Münzen 1611 bis 1694, Regenstauf 2006, Nr. 314","Dresden, 1630","Vs: Umschrift zwischen Strichrand und Perlkreis: AUG : EX HIBITÆ SECULUM [Münzzeichen: zwei gekreuzte Zainhaken] = CONFESS : LUTHER : 
Im Perlkreis: Hüftbild von Kurfürst Johann Georg I. im Kurornat mit geschultertem Schwert nach rechts, davor mehrfeldige Wappenkartusche. Umschrift oben: 16 = 30 = 25 Juny; links bzw. rechts vom Kurfürsten IOH = GEOR 

Rs: Umschrift zwischen Strichrand und Strichkreis: TURRIS [Wappenkartusche] FORTISSIMA [Wappenkartusche] NOMEN [Wappenkartusche] DOMINI [Wappenkartusche] 
Hüftbild von Kurfürst Johann mit geschultertem Schwert nach rechts. Umschrift oben: 15 = 30 = 25 Juny; links bzw. rechts vom Kurfürsten IOAN [Ligatur A u. N] = NES 
Henkel","Johann Georg I., Kurfürst von Sachsen
Johann, Kurfürst von Sachsen
Sachsen
Reformation
Gedenkmünze
Münze
"
52386,2,1690,"Brandenburg,Friedrich I.,König in Preußen,Münze",X 2469,"Taler, Kurfürstentum Brandenburg, Friedrich III. (1688-1701), 1695","Schneider, Lorenz Christoph; Münzmeister
 ",Münzmeister,"4,17 cm",,"29,2 g",Silber,"Bahrfeldt, Emil: Das Münzwesen der Mark Brandenburg, Bd. 3, Unter Friedrich Wilhelm, dem Großen Kurfürsten und Kurfürst Friedrich III. 1640-1701, Neudr. d. Ausg. Halle a. d. Saale 1913, S. 155, lfd. Nr. 460b. 
 Weyl, Adolph: Die Paul Henckel'sche Sammlung Brandenburg-Preussischer Münzen und Medaillen, Teil 1, Mark Brandenburg, Berlin 1876, S. 111, lfd. Nr. 1118. 
 Nachtrag zur Paul Henckel'schen Sammlung Brandenburg-Preussischer Münzen und Medaillen, bearb. v. Adolph Weyl, Berlin 1877, S.3, S. 30","Berlin, 1695","Vs: Umschrift unter Schnurrand: FRIDER * III * D * G * M * B * S * R * I * A * C * & * EL * 16 = 95 * 
Kurhut über dem fünfundzwanzigfeldigem, eingebogenen Wappenschild, Zepter im Mittelschild von Ranken umgeben; an den Seiten LC = S * 

Rs: Schnurrand 
Spiegelmonogramm F, bekrönt, ins Kreuz gestellt. Zwischen den Monogrammen III, in der Mitte das Zepterschild","Brandenburg
Friedrich I., König in Preußen
Münze
"
52409,2,1670,"Brandenburg,Friedrich Wilhelm,Kurfürst von Brandenburg,Gedenkmünze,Fehrbellin,Münze",X 2462,"Gedenkmünze auf die Schlacht von Fehrbellin (18.06.1675), Taler, Kurfürstentum Brandenburg, Friedrich Wilhelm (1640-1688), 1675 

",,,"4,3 cm",,"28,6 g",Silber,"Bahrfeldt, Emil: Das Münzwesen der Mark Brandenburg, Bd. 3, Unter Friedrich Wilhelm, dem Großen Kurfürsten und Kurfürst Friedrich III. 1640-1701, Neudr. d. Ausg. Halle a. d. Saale 1913, S. 138, Nr. 385; S.170. 
 Die Münzen Friedrich Wilhelms des Großen Kurfürsten und Friedrichs III. von Brandenburg. Auf Grundlage der Sammlung des Königlichen Münzkabinetts, bearb. v. Friedrich Freiherr von Schrötter, Berlin 1913, Nachdruck Bielefeld 1978., S. 218, Nr. 2199; Tf39, 2199. 
 Weyl, Adolph: Die Paul Henckel'sche Sammlung Brandenburg-Preussischer Münzen und Medaillen, Teil 1, Mark Brandenburg, Berlin 1876, S. 276, lfd. Nr. 2993. 
 Nachtrag zur Paul Henckel'schen Sammlung Brandenburg-Preussischer Münzen und Medaillen, bearb. v. Adolph Weyl, Berlin 1877, S. 9","Berlin, 1675","Vs: Umschrift unter Strichelrand: FRID : WILH : D : G · MAR · BR S · R · I · ARC & EL: * 
Der Kurfürst mit Lorbeerkranz zu Pferde nach rechts galoppierend, geharnischt, das Schwert in der Rechten erhoben; über ihm ein Spruchband mit: OB SVBDITOS SERVATOS; unten feuernde Artillerie, eine Brücke, Fußvolk und Wald. 

Rs: Umschrift unter Strichelrand: PAX VNA TRIVMPHIS = IN NVMERIS POTIOR 
Pax, mit Helm und Flügeln, die Rechte gestützt auf das brandenburgische Zepterschild, in der Linken Lorbeerkranz und Palmzweig 
Im Abschnitt: LINVM · 18 IVN / * 1675 *","Brandenburg
Friedrich Wilhelm, Kurfürst von Brandenburg
Gedenkmünze
Fehrbellin
Münze
"
52484,2,1590,"Georg Friedrich I.,Markgraf von Brandenburg-Ansbach (1539-1603),Preußen (Herzogtum),Münze",X 2442,"Ternar, Herzogtum Preußen, Markgraf Georg Friedrich, Administrator (1578-1603), 1593",,,"1,51 cm",,"0,8 g",Silber,"Saurma-Jeltsch, Hugo von: Die Saurmasche Münzsammlung deutscher, schweizerischer und polnischer Gepräge. Von etwa dem Beginn der Groschenzeit bis zur Kipperperiode, Berlin 1892, Nachdruck Berlin 1986 (Transpress-Reprint), S.127, lfd. Nr. 5118. 
 Weyl, Adolph: Die Paul Henckel'sche Sammlung Brandenburg-Preussischer Münzen und Medaillen, Teil 2, Die Provinzen Preussen, Pommern, Posen und Schlesien, Berlin 1876, S. 11, lfd. Nr. 3170. 
 Nachtrag zur Paul Henckel'schen Sammlung Brandenburg-Preussischer Münzen und Medaillen, bearb. v. Adolph Weyl, Berlin 1877, S. 15; S. 34","Königsberg, 1593","Vs: Im Srickkreis: · III · / 15 [großes G, darin F] 93 / · [Zollernschild] · 

Rs: Umschrift im Strich-/Strickkreis: GEORG · FRID : D : G · DVX · PRVSS [Münzmeisterzeichen Königsberg] 
Im Strich-Doppelpunkt-Strich-Doppelpunkt-Kreis preußischer Adler mit S auf der Brust, oben den Kreis teilend","Georg Friedrich I., Markgraf von Brandenburg-Ansbach (1539-1603)
Preußen (Herzogtum)
Münze
"
52570,2,1910,"Kaiserzeit,Preußen,Friedrich Wilhelm III.,König von Preußen,Befreiungskriege (1813-1815)/ Jubiläum (1913),Gedenkmünze,Münze",X 2680,"Gedenkmünze anläßlich der Jahrhundertfeier der Befreiungskriege, 3 Mark, Deutsches Reich, Königreich Preußen, Wilhelm II. (1888-1918), 1913","Kullrich, Reinhard; Stempelschneider, Vorder- und Rückseite
Sturm, Paul; Medailleur, Entwuf und Modell Vs und Rs
 ",Medailleur,"3,3 cm",,"16,8 g",Silber,"Arnold, Paul / Küthmann, Harald / Steinhilber, Dirk: Grosser deutscher Münzkatalog von 1800 bis heute, Augsburg 1997, S. 242, lfd. Nr. 139. 
 Jaeger, Kurt: Die deutschen Münzen seit 1871. mit Prägezahlen und Bewertungen, 19. Aufl., Regenstauf 2005, "". 148, lfd. Nr. 110. 
 Steguweit, Wolfgang / Kluge, Bernd: Suum cuique. Medailllenkunst und Münzprägung in Brandenburg-Preußen, Berlin 2008, S. 270, lfd. Nr. 251","Berlin, 1913","Vs: Umschrift oben unter Stabrand: DER KÖNIG RIEF UND ALLE ALLE KAMEN· 
König Friedrich Wilhelm III. in Uniform zu Pferde nach halblinks, umringt vom jubelndem Volk 
Im Abschnitt: MIT GOTT - FÜR KÖNIG / UND VATERLAND / 17-3-1813 

Rs: Umschrift unter Stab-/Strichrand: DEUTSCHES REICH 1913 * DREI MARK * 
Nach links fliegender Adler mit einer Schlange in seinen Fängen","Kaiserzeit
Preußen
Friedrich Wilhelm III., König von Preußen
Befreiungskriege (1813-1815)/ Jubiläum (1913)
Gedenkmünze
Münze
"
52639,2,1770,"Preußen,Friedrich II.,König von Preußen,Münze",X 2549,"Reichstaler, Königreich Preußen, Friedrich II. (1740-1786), 1779",,,"3,9 cm",,"22,2 g",Silber,"Das Preußische Münzwesen im 18. Jahrhundert, Bd. 1, H. 2, Die Münzen aus der Zeit des Königs Friedrich II. des Großen, bearb. v. Friedrich Freiherr von Schrötter, Berlin 1904 (Acta Borussica. Denkmäler der Preußischen Staatsverwaltung im 18. Jahrhundert)., S. 40, Nr. 465. 
 Weyl, Adolph: Die Paul Henckel'sche Sammlung Brandenburg-Preussischer Münzen und Medaillen, Teil 1, Mark Brandenburg, Berlin 1876, S. 176, lfd. Nr. 1792. 
 Nachtrag zur Paul Henckel'schen Sammlung Brandenburg-Preussischer Münzen und Medaillen, bearb. v. Adolph Weyl, Berlin 1877, S. 3; S. 23. 
 Schön, Gerhard: Deutscher Münzkatalog. 18. Jahrhundert, 3. Aufl., München 2002, S. 147, lfd. Nr. 151","Berlin, 1779","Vs: Umschrift unter Strichrand: FRIDERICUS BORUSSORUM REX 
Kopf des greisen Königs mit Lorbeerkranz nach rechts 
RS: Umschrift unter Strichrand: EIN REICHS THALER 
Bekrönter Adler auf Trophäen; im Abschnitt 17 = A = 79 
Laubrand","Preußen
Friedrich II., König von Preußen
Münze
"
52681,2,1710,"Friedrich August I.,König von Sachsen,Sachsen,Vikariatsmünzen,Münze",X 2704,"Vikariatstaler, Kurfürstentum Sachsen, Friedrich August I. (1694-1733), 1711","Groskurt, Heinrich Paul; Medailleur
Holland, Johann Lorenz; Münzmeister
 ",Münzmeister,"4,64 cm",,29 g,Silber,"Kahnt, Helmut: Die Münzen Augusts des Starken. 1694 - 1733, Regenstauf 2009, Nr. 283. 
 Schön, Gerhard: Deutscher Münzkatalog. 18. Jahrhundert, 3. Aufl., München 2002, S. 774, lfd. Nr. 81","Dresden, 1711","Vs: Gekrönter Kurfürst zu Pferde nach rechts, mit Harnisch, Umhang und Ordensband, in der Rechten das Zepter; unten das kursächsisch-polnisch-litauische Wappenschild 
Strichrand und Linienkreis 

Rs: Oben zwei Tische mit den Krönungsinsignien Krone, Reichsapfel, Zepter, Krönungsumhang und Kurhut, Kurschwert, Krönungsmantel; darüber Schriftzug: FRID : AUG: / REX ELECTOR 
Unten Tisch mit Decke, darauf mit Lorbeerzweigen umrandeter Schriftzug: ET / VICARIUS / POST MORT: / IOSEPHI / IMPERAT: ; neben dem Tisch MDC = CXI, darunter Münzmeisterzeichen: I L·H· = Zainhaken","Friedrich August I., König von Sachsen
Sachsen
Vikariatsmünzen
Münze
"
52707,2,1530,"Preußen (Herzogtum),Albrecht,Herzog von Preußen,Münze",X 2416,"Groschen, Herzogtum Preußen, Herzog Albrecht von Brandenburg (1525-1569), 1530",,,"2,31 cm",,2 g,Silber,"Saurma-Jeltsch, Hugo von: Die Saurmasche Münzsammlung deutscher, schweizerischer und polnischer Gepräge. Von etwa dem Beginn der Groschenzeit bis zur Kipperperiode, Berlin 1892, Nachdruck Berlin 1986 (Transpress-Reprint), S.127, lfd. Nr. 5065. 
 Weyl, Adolph: Die Paul Henckel'sche Sammlung Brandenburg-Preussischer Münzen und Medaillen, Teil 2, Die Provinzen Preussen, Pommern, Posen und Schlesien, Berlin 1876, S. 5, lfd. Nr. 3114",1530,"Vs: Umschrift zwischen zwei Perlkreisen: IVSTUS * EX * FIDE * VIVIT * 1530 [Zollernschild] * 
Im Perlkreis Brustbild des Herzogs im Harnisch nach rechts 

Rs: Umschrift zwischen zwei Perlkreisen: ALBER * D * G * MAR * BRAN * DVX * PRVS * 
Im inneren Perlkreis preussischer Adler, vor der Brust auf gekröntem Wappenschild ein S","Preußen (Herzogtum)
Albrecht, Herzog von Preußen
Münze
"
