id,keywords,year,_labels,_logos,_mAdditionalNotes,_mAdditionalKeywords,_mNotesIntent,_mSigned,_mAdditionalTheme,_mNotesImageAndText,_mText,_mShow,_mTitle,_mStrategy,_mCulturalContext,_mTone,_mConcern,_mLetteringStyle,_mContains,_mMade
100D0001_DSC2807,"other,indignation,complaint",,"blue, text, font, writing, calligraphy",,,"frustration, confusion, overwhelmed",,,,,UGH Where do I even start?,,UGH,complaint,other,indignation,other,"decorative, hand-written",text,marker
100D0001_DSC2808,"lgbtq,assertive,determined,encouragement,solidarity",,"text, font, design, product design, drawing",,,"LGBTQ, rights, progress",,,,"LGBT is in block letters and filled in with rainbow colors, exclamation point colored in red","LGBT We Won't Go Back!",,LGBT,"encouragement, solidarity","historic reference (e.g. witch hunts, founding fathers, slavery, etc.)?","assertive, determined",lgbtq,"block, hand-written",text,marker
100D0001_DSC2809,"feminism,gender equality,women's rights,assertive,solidarity",,"text, font, design, product design, drawing",,,"girls, feminism, strength",,,,,Girl Power,"female symbol is the ""i"" in girl",Girl Power,solidarity,"famous protest slogan (e.g. we shall overcome, black lives matter)",assertive,"feminism, gender equality, women's rights","block, decorative","text, drawing",marker
100D0001_DSC2810,"hate,love,assertive,determined,encouragement",,"text, font, handwriting, writing, calligraphy",,,"hate, love",,,,"""only"" is underlined",hate cannot drive out hate only love can,,Drive Out Hate,encouragement,other,"assertive, determined","hate, love","block, hand-written",text,marker
100D0001_DSC2811,"trump,rage,demand,complaint",,"text, font, signage, sign, brand",Time travel,,"taxes, trump, secrecy",,,,,Show Us Your #@&*! Tax Returns ,,Show Us Your Tax Returns,"demand, complaint",things trump said,rage,trump,block,text,print
100D0001_DSC2812,"refugees,reproductive rights,assertive,rage,solidarity,call to action",,"text, font, handwriting, writing, sign",,,"refugee, pro-life, fetus",,,,,"anyone who believes a fetus is a person and refugee is not worth saving, is not pro-life",,Not Pro-Life,"solidarity, call to action",other,"assertive, rage","refugees, reproductive rights","block, hand-written",text,marker
100D0001_DSC2813,"guns,reproductive rights,assertive,rage,determined,demand,solidarity",,"text, font, handwriting, writing, calligraphy",,,"guns, rights, reproduction",,,,,If you are pro-guns you are not pro-life stop the gun lobby,,Stop the Gun Lobby,"demand, solidarity",other,"assertive, rage, determined","guns, reproductive rights","block, sans serif",text,marker
100D0001_DSC2814,"feminism,women's rights,assertive,encouragement,solidarity",,"green, text, yellow, font, product, poster, area, grass, graphic design, brand",,,"empower, women",,,,,empowered women empower women,,Empowered Women Empower Women,"encouragement, solidarity",other,assertive,"feminism, women's rights","block, hand-written",text,marker
100D0001_DSC2815,"hillary clinton,feminism,women's rights,assertive,solidarity",,"pink, red, text, font, design",,,"Clinton, women, arrows",,,,,"I'm with her",Black text on pink background with 10 arrows pointing in all directions,"I'm With Her",solidarity,popular memes (viral content like lol cats),assertive,"hillary clinton, feminism, women's rights",block,"text, illustration",marker
100D0001_DSC2816,"civil rights,environment,feminism,gender equality,hate,immigration,lgbtq,love,migrant rights,religion,women's rights,healthcare,loving,determined,solidarity",,"text, font, design, art, product, pattern",,,"nasty, women, rights, freedom, justice",,,,"""nasty women march"" is in big bubble letters","nasty women march for women's rights, equality, civil rights, healthcare 4 all, the environment, LGBTQ rights, immigrants, justice, freedom of religion, love not hate, education",,Nasty Women March,solidarity,things trump said,"loving, determined","civil rights, environment, feminism, gender equality, hate, immigration, lgbtq, love, migrant rights, religion, women's rights, healthcare","block, hand-written",text,marker
100D0001_DSC2817,"trump,rage,demand,complaint",,"text, font, paper, material",,,"trump, bigotry",,,,,"stop bigotry, stupid Trump!","sticker with a cartoon of trump's profile that reads ""stop bigotry""",Stupid Trump,"demand, complaint",things trump said,rage,trump,"block, hand-written",text,marker
100D0001_DSC2818,"abortion,feminism,reproductive rights,uterus,women's rights,assertive,determined,encouragement,solidarity",,"green, text, font, drawing, material",,,"uterus, seeds",,,,,they forgot we were seeds,uterus with flowers for ovaries,Seeds,"encouragement, solidarity",other,"assertive, determined","abortion, feminism, reproductive rights, uterus, women's rights","block, decorative, hand-written","text, drawing","drawing, marker"
100D0001_DSC2819,"feminism,gender equality,women's rights,rage,demand",,"text, font, design, writing, line",,,"feminism, microaggressions",,,,,"Don't Call Me ""Little Girl""",,"Don't Call Me Little Girl",demand,other,rage,"feminism, gender equality, women's rights",sans serif,text,marker
100D0001_DSC2820,"feminism,determined,solidarity",,"blue, text, font, sign, signage",,,"feminism,this is what a feminist looks like",,,,"neat writing, blank background",This is what a feminist looks like,purple text,This is what a feminist looks like,solidarity,"famous protest slogan (e.g. we shall overcome, black lives matter)",determined,feminism,"typeface (imitative), block",text,marker
100D0001_DSC2821,"hate,rage,complaint",,"pink, text, font, magenta, design, graphic design, brand, graphics, sign",,,"rage, anger, frustration",,,,,ARRGH,,ARRGH,complaint,other,rage,hate,"block, hand-written",text,marker
100D0001_DSC2822,"social justice,assertive,call to action",,"blue, text, font, signage",,,"peace, justice, equity",,,,,Social Justice For All = Peace,,Social Justice For All,call to action,other,assertive,social justice,block,text,print
100D0001_DSC2823,"trump,resistance,determined,solidarity",,"green, text, font, product design, writing",,,"divide, trump, solidarity",,,,,he will not divide us,,He Will Not Divide Us,solidarity,"famous protest slogan (e.g. we shall overcome, black lives matter)",determined,"trump, resistance","block, hand-written",text,marker
100D0001_DSC2824,"feminism,assertive,rage,encouragement,solidarity",,"text, font, paper, material, product",,,"feminism, language",,,,"""not"" is underlined",Feminism is not a dirty word,,Feminism Is Not A Dirty Word,"encouragement, solidarity",other,"assertive, rage",feminism,"block, hand-written",text,marker
100D0001_DSC2825,"civil rights,reproductive rights,women's rights,trump,rage,determined,demand,solidarity",,"text, pink, font, poster, design",,,"rights, grab, trump",,,,"""neither are we"" is outlined in pink and ""we"" is underlined twice","our rights aren't for grabs- neither are we.",,For Grabs,"demand, solidarity",things trump said,"rage, determined","civil rights, reproductive rights, women's rights, trump","block, hand-written",text,marker
100D0001_DSC2826,"feminism,gender equality,women's rights,determined,encouragement,solidarity",,"red, text, art, drawing, font",,,"strength, feminism, together",,,,,Stronger together,drawing of Rosie the Riveter,Stronger Together,"encouragement, solidarity","historic reference (e.g. witch hunts, founding fathers, slavery, etc.)?",determined,"feminism, gender equality, women's rights","block, cursive, hand-written","text, drawing","drawing, marker"
100D0001_DSC2827,"trump,resistance,assertive,humor,demand",,"pink, text, font, product, product design",,unclear whether poster is humorous or actually sympathizes for melania,"free melania,pussy hat,free,melania",,,,pink hat attached to back,free melania,pussy hat,FREE MELANIA,demand,popular memes (viral content like lol cats),"assertive, humor","trump, resistance",hand-written,"text, collage",marker
100D0001_DSC2828,"resistance,assertive,determined,solidarity",,"pink, text, font, calligraphy, handwriting",,,"pussy hat,resistance,we are the resistance",,,,,We Are the RESISTANCE,pussy hat horizontal to text,We Are the Resistance (Pussy Hat),solidarity,"famous protest slogan (e.g. we shall overcome, black lives matter)","assertive, determined",resistance,hand-written,text,"marker, collage"
100D0001_DSC2829,"civil rights,reproductive rights,women's rights,rage,determined,demand,solidarity",,"text, font, art, drawing, design, organism, product, illustration, product design, visual arts",,,"rights, grabs",,,,,our rights are not up for grabs,,Our Rights ,"demand, solidarity",things trump said,"rage, determined","civil rights, reproductive rights, women's rights","block, hand-written",text,marker
100D0001_DSC2830,"feminism,women's rights,assertive,solidarity",,"art, mammal, text, vertebrate, pink, cartoon, drawing, font, child art, organ",,,"women, rock, solidarity",,,,rainbow background,Women Rock,,Women Rock,solidarity,other,assertive,"feminism, women's rights","block, hand-written",text,marker
100D0001_DSC2831,"obama,change,determined,call to action",,"text, font, handwriting, calligraphy, writing",,,"quote, Obama",,,,,"Change only happens when ordinary people get involved get engaged and come together to demand it! ""Barack Obama""",,Change Only Happens When...,call to action,Quote,determined,"obama, change",hand-written,text,marker
100D0001_DSC2832,"civil rights,feminism,gender equality,trump,resistance,assertive,demand",,"text, font, handwriting, writing, calligraphy, angle, sign",,,"human rights,grab,up for grabs,equality,trump","'up for grabs' reference to trump 'grab her..' quote",,refusal,,NOT UP FOR GRABS / EQUALITY / DIGNITY / JUSTICE / HUMAN RIGHTS,"black text, arrows",Not Up For Grabs,demand,things trump said,assertive,"civil rights, feminism, gender equality, trump, resistance",hand-written,text,marker
100D0001_DSC2833,"healthcare,humor,determined,complaint",,"pink, text, petal, flower, picture frame",Biodiversity,,"pink, printed, duck tape",,,,,Being Alive IS A PRE-EXISTING CONDITION Protect Our HealthCare,three identical pink and yellow flowers,Being Alive,complaint,things trump said,"humor, determined",healthcare,serif,"text, photography",print
100D0001_DSC2834,"resistance,determined,encouragement",,"text, font, poster, advertising, banner",,,"flags,our bodies,resistance",white text in lower right corner may have printing information but too small to read,,,,OUR BODIES / OUR MINDS / OUR POWER,text on three red flags over black background with gray religious and sex identity symbols,Our Bodies (flags),encouragement,"famous protest slogan (e.g. we shall overcome, black lives matter)",determined,resistance,"typeface (imitative), sans serif","text, illustration",print
100D0001_DSC2835,"civil rights,trump,assertive,demand,complaint",,"text, font, line, calligraphy, writing",,,"think, president, rights, lives",,,,,"Mr. President- before you speak or tweet, think: T: is it true?, H: is it helpful?, I: is it inspiring?, N: is it necessary?, K: is it kind?, our rights our lives depend on it!",,THINK,"demand, complaint",other,assertive,"civil rights, trump","sans serif, hand-written",text,"print, marker"
100D0001_DSC2836,"love,loving,solidarity",,"green, modern art, art, graphic design, graphics",,unusual composition and illustration,"hope,box,collage,paper collage",,,,letters overlap with heart over green block,HOPE,"green pink blue and yellow paper collage, illustrations include a heart, pussy hat, and child's side profile",HOPE,solidarity,,loving,love,"block, sans serif","text, illustration, collage",collage
100D0001_DSC2837,",,",,"font, art, drawing, product design, illustration",,,"unfinished,illustration","this is probably an initial (decidedly failed) attempt, and the creator used the other side",,,,,"blob of paint,pencil drawing of a bush",Teal Bush,,,,,,illustration,"drawing, paint"
100D0001_DSC2838,"civil rights,hate,assertive,rage,call to action",,"text, font, design, product design, number",,,"free, oppression, rights",,,,,No one is FREE when others are OPPRESSED,,No One is Free,call to action,other,"assertive, rage","civil rights, hate","block, sans serif, hand-written",text,marker
100D0001_DSC2839,"unclear,other,other",,"text, font, design, drawing, product design",,,"how, discrimination",message and theme of this poster is very unclear- maybe there is a backside that was missed,,,,How can Discrimination,,How Can Discrimination,other,other,other,unclear,"sans serif, hand-written",text,marker
100D0001_DSC2840,"immigration,trump,resistance,determined,demand,encouragement",,font,,,"wall, kindness, immigration",,,,,Build Kindness Not Walls,yellow star outlined in black,Build Kindness,"demand, encouragement",things trump said,determined,"immigration, trump, resistance","block, hand-written","text, drawing",marker
100D0001_DSC2841,"civic values,assertive,solidarity",,"text, font, signage, sign",Institute for Social Security and Services for State Workers,,"pledge of allegiance, national unity",,,,,Indivisible Indivisible Indivisble,black text on white background with heart stickers,Indivisible,solidarity,"historic reference (e.g. witch hunts, founding fathers, slavery, etc.)?",assertive,civic values,serif,"text, sticker",print
100D0001_DSC2842,"institutions/supreme court/political parties,justice,assertive,loving,solidarity",,"text, yellow, font, green, line",,"remix of MLK quote: ""Injustice anywhere is a threat to justice everywhere","MLK, quote, messed up quote, injustice, all",,,"MLK, quote",,INJUSTICE TO ONE IS INJUSTICE TO ALL,text,INJUSTICE,solidarity,botched MLK quote,"assertive, loving","institutions/supreme court/political parties, justice",hand-written,text,marker
100D0001_DSC2843,"children,climate,election,fear,guilt,warning",,"text, yellow, font, line, area",,,"the future, climate, us",,,,,WHAT WILL THE FUTURE GENS THINK OF US? (if we even make it),text,FUTURE GENS,"guilt, warning",posterity?,fear,"children, climate, election",hand-written,text,marker
100D0001_DSC2844,"feminism,gender equality,women's rights,indignation,warning",,"text, advertising, signage, poster, banner",,"i've seen this quote so much but idk if helen reddy is often credited or if she is the true origin of it","i am woman, hear me roar, helen reddy, lion, solidarity","also might reference march (where people are ""roaring"")",,"from helen reddy's ""i am woman"" song",,"I AM WOMAN | & IF YOU DON'T PROTECT ALL AMERICANS YOU WILL | HEAR ME ROAR","white text, red lion on blue ",I AM WOMAN,warning,"pop culture (e.g. princess leah, song lyrics, etc)",indignation,"feminism, gender equality, women's rights",typeface (imitative),"text, illustration",print
100D0001_DSC2845,"unclear,Helpful?,",,"text, handwriting, font, writing, calligraphy",,"not sure what they're talking about taking down, potentially taking down trump presidency? taking down posters?",,,,,,"Let us Know When you take these down + We'll come back to HELP :) -Boston people who like this but don't want to make extra work",text,Let us Know,,unclear,Helpful?,unclear,hand-written,text,marker
100D0001_DSC2846,"gender equality,women's rights,assertive,determined,encouragement,solidarity",,"text, handwriting, font, writing, line",,,"south africa, rock, woman","""Wathint' Abafazi, Wathint' Imbokodo"" is a famous slogan from the 1956 South African Women's March",,,,"""WHEN YOU STRIKE A WOMAN YOU STRIKE A ROCK!!""",,WHEN YOU STRIKE A WOMAN YOU STRIKE A ROCK!!,"encouragement, solidarity","famous protest slogan (e.g. we shall overcome, black lives matter)","assertive, determined","gender equality, women's rights",hand-written,text,marker
100D0001_DSC2847,"election,institutions/supreme court/political parties,trump,resistance,fascism,assertive,humor,rage,demand",,"text, font, handwriting, design, drawing",,,"trump,sad,fascism,resist","many have found humor in trump's bizarre tendency to sign tweets with ""Sad!""",,fascism,"hastily made, uneven composition",SAD! No Fascism!! So Sad!,black text,SAD FASCISM,demand,"popular memes (viral content like lol cats), internet (tweets, tech jargon (e.g. alt r+ del)), things trump said","assertive, humor, rage","election, institutions/supreme court/political parties, trump, resistance, fascism","block, hand-written",text,marker
100D0001_DSC2848,"trump,rage,warning",,"yellow, text, font, art, poster",,,"devil, Trump, hubris",,,,,Hubris will be your downfall,Trump with devil horns,Hubris,warning,,rage,trump,hand-written,"text, drawing","drawing, marker"
100D0001_DSC2849,"civil rights,history,institutions/supreme court/political parties,resistance,assertive,determined,encouragement,solidarity,call to action",,"text, font, sign, signage, calligraphy",,"other democratic leaders (clinton, warren, lewis) who were looked to","lewis,determined,never give up,carry on","john lewis, current congressman",,"determination, morality",left-justified (mainly),"""Never give up when you know you're right"" John Lewis",blue text,Never Give Up,"encouragement, solidarity, call to action",quote from contemporary leader,"assertive, determined","civil rights, history, institutions/supreme court/political parties, resistance",hand-written,text,paint
100D0001_DSC2850,"institutions/supreme court/political parties,resistance,wealth inequality,democracy,assertive,indignation,demand,call to action",,"yellow, text, product, font, product",Represent.Us,,"democracy,corruption,anti-corruption,money,representation",,represent.us,anti-corruption,website listed three times,"I'm an ANTI-CORRUPTION VOTER / www.represent.us / US / Represent.Us Get Money Out of Politics www.represent.us","speech bubble, bumper sticker with stars",Represent.Us,"demand, call to action",self-promotion,"assertive, indignation","institutions/supreme court/political parties, resistance, wealth inequality, democracy","typeface (imitative), sans serif, serif","text, illustration",print
100D0001_DSC2851,"feminism,gender equality,assertive,rage,demand,complaint",,"text, font, handwriting, writing, calligraphy",,not inclusive of any groups besides women,"feminism,gender,text only",,,second-wave feminism,"some underlining, ""US"" as block letters (sloppy)","We'll Never Get Anywhere As A Country If Half Of US are HELD BACK!",black text,Half of Us,"demand, complaint","famous protest slogan (e.g. we shall overcome, black lives matter)","assertive, rage","feminism, gender equality","block, hand-written",text,marker
100D0001_DSC2852,"reproductive rights,assertive,solidarity",,"text, poster, advertising, product, font",,,"reproductive rights, disability rights, human rights, local, massachusetts, MA, flag, heart",local - includes a local group name and origin,,local - includes a local group name and origin,"all typed. the ""north shore MA is smaller near the bottom)","REPRODUCTIVE RIGHTS are HUMAN RIGHTS ACTION TOGETHER NORTH SHORE, MA","text, silhouette of different people (including someone holding a child, someone in a wheelchair and someone pregnant), also a heart with a flag inside it",Reproduction Rights,solidarity,"famous protest slogan (e.g. we shall overcome, black lives matter)",assertive,reproductive rights,block,"text, illustration, drawing",print
100D0001_DSC2853,"feminism,gender equality,women's rights,resistance,assertive,indignation,determined,demand,solidarity",,"text, yellow, font, handwriting, line",,,"equality,women's rights,march,protest,why march",,,"women's rights",,"I MARCH FOR WOMEN'S RIGHTS I MARCH FOR EQUALITY",black text over lighter red text over yellow background,I March For...,"demand, solidarity",,"assertive, indignation, determined","feminism, gender equality, women's rights, resistance",hand-written,text,drawing
100D0001_DSC2854,"resistance,assertive,determined,encouragement,call to action",,"text, font, collection, number",,,"howard zinn, dissent, not thomas jefferson, patriotism",usually attributed to howad zinn. ,,,,dissent is patriotic,text,Dissent is Patriotic,"encouragement, call to action","famous protest slogan (e.g. we shall overcome, black lives matter), quote - howard zinn","assertive, determined",resistance,,text,marker
100D0001_DSC2855,"feminism,gender equality,women's rights,assertive,encouragement",,"blue, text, font, product, area",,,"female, feminism, people",,,,,we the people is 51% female,,51% Female,encouragement,other,assertive,"feminism, gender equality, women's rights","block, hand-written",text,marker
100D0001_DSC2856,"feminism,gender equality,women's rights,trump,,solidarity",,"pink, text, purple, font, calligraphy",,,"trump, pussy, resistance",,,,"decorative border around poster's edge",Pussy Grabs Back,,Pussy Grabs Back,solidarity,things trump said,,"feminism, gender equality, women's rights, trump",cursive,text,marker
100D0001_DSC2857,"gender equality,women's rights,assertive,determined,demand",,"blue, text, font, product, poster, banner, advertising, signage",,,"women's rights, human rights",popular poster slogan,,,writing in red and blue (on white) patriotic,"WOMEN'S RIGHTA ARE HUMAN RIGHTS",text,"Women'srights",demand,"famous protest slogan (e.g. we shall overcome, black lives matter)","assertive, determined","gender equality, women's rights",block,text,marker
100D0001_DSC2858,"women's rights,resistance,rage,determined,solidarity",,"purple, violet, art, font, modern art",,,"play on words, purple text",,,play on words,,resisters,"purple text emphasizing 'SISTERS' in 'RESISTERS'",reSISTERS,solidarity,"famous protest slogan (e.g. we shall overcome, black lives matter)","rage, determined","women's rights, resistance","block, sans serif, hand-written",text,marker
100D0001_DSC2859,"feminism,history,resistance,assertive,indignation,demand",,"pink, text, font, calligraphy, sign",,,"march,march forward",,,activism,"female symbol for 'o' in 'forward'",MARCH FORWARD NOT BACKWARDS,"red text, blank background",March Forward,demand,"literal march + society's progress","assertive, indignation","feminism, history, resistance","decorative, hand-written",text,paint
100D0001_DSC2860,"feminism,resistance,assertive,meta (comment on sign or protest, e.g. ""i make the best signs""),encouragement",,"red, text, font, orange, handwriting, calligraphy, line, area, rectangle, sign",,,"feminist,what a feminist looks like,hashtag,whyimarch",significance depends on appearance of person holding sign,,,,THIS IS WHAT A FEMINIST LOOKS LIKE #WHYIMARCH,black text,What a Feminist Looks Like,encouragement,"internet (tweets, tech jargon (e.g. alt r+ del))","assertive, meta (comment on sign or protest, e.g. ""i make the best signs"")","feminism, resistance",hand-written,text,marker
100D0001_DSC2861,"feminism,gender equality,women's rights,determined,solidarity",,"green, text, font, handwriting, grass, area, line, sign, calligraphy, writing",,,"feminist, looks, march",,,,,"this is what a feminist looks like, #WhyIMarch",,This Is What A Feminist Looks Like,solidarity,"famous protest slogan (e.g. we shall overcome, black lives matter)",determined,"feminism, gender equality, women's rights",hand-written,text,marker
100D0001_DSC2862,"lgbtq,love,trump,loving,encouragement,solidarity",,"text, font, sign",,,"love not hate, love, maga, love trumps hate",,,maga,,"""LOVE, NOT HATES makes AMERICA GREAT""",,"LOVE, NOT HATES makes AMERICA GREAT","encouragement, solidarity",things trump said,loving,"lgbtq, love, trump","block, cursive",text,"marker, paint, sparkle paint"
100D0001_DSC2863,"civil rights,resistance,indignation,determined,encouragement,call to action",,"pink, text, red, font, magenta",,,"resistance,protest,freedom",,,freedom,"peace signs for 'o's, text unevenly drawn",We WHO BELIEVE IN FREEDOM CANNOT REST,black text pink background,We Who Believe in Freedom,"encouragement, call to action","famous protest slogan (e.g. we shall overcome, black lives matter)","indignation, determined","civil rights, resistance","decorative, hand-written",text,marker
100D0001_DSC2864,"earth,environment,resistance,assertive,determined,",,"text, font, product, t shirt, design, poster, graphic design, advertising, product, brand",,,"earth, silence, option",,,,,silence is not an option,Earth ,Silence Is Not An Option,,other,"assertive, determined","earth, environment, resistance",typeface (imitative),"text, drawing",marker
100D0001_DSC2865,"race,trump,resistance,assertive,rage,determined,demand,solidarity",,"text, purple, font, sign, product",,,"racism, threats, normal",,,,"""#wewontgoback# in the top right corner","We reject your racism resist your threats aren't going anywhere this is not normal ",,Resistance,"demand, solidarity",other,"assertive, rage, determined","race, trump, resistance","block, cursive, hand-written",text,marker
100D0001_DSC2866,"trump,humor,insults,complaint",,"text, font, calligraphy, design, writing",,,"trump, rump",,,,,"Donald Trump? more like Donald's rump",trump at a microphone,"Donald's Rump",complaint,other,"humor, insults",trump,hand-written,"text, drawing",marker
100D0001_DSC2867,"feminism,gender equality,women's rights,resistance,assertive,indignation,demand",,"text, font, paper, product design",,,"feminism,womens rights,unfinished",unfinished or cut off,,human rights,"assume ending should be ""once and for all""","""Human rights are woman's rights and woman's are human rights. ONCE AND",text,ONCE AND,demand,"famous protest slogan (e.g. we shall overcome, black lives matter)","assertive, indignation","feminism, gender equality, women's rights, resistance",hand-written,text,marker
100D0001_DSC2868,"feminism,women's rights,determined,encouragement,solidarity",,"blue, text, font, line, product",,,"future, female, feminism",,,,small stars drawn in the background,The future is female,,The Future is Female,"encouragement, solidarity","famous protest slogan (e.g. we shall overcome, black lives matter)",determined,"feminism, women's rights","block, hand-written",text,marker
100D0001_DSC2869,"trump,insults,other",,"text, font, product design, calligraphy, pattern",,,"russian, golden shower, gay bakery, swastika, kkk hood",,,,,[Russian] nowen haxyn MR GOLDEN SHOWER & MR GAY BAKERY,"text, swastikas with line through them, KKK hood with line through it",Mr Golden Shower,other,things trump said,insults,trump,hand-written,"text, drawing",marker
100D0001_DSC2870,"resistance,assertive,determined,encouragement,solidarity",,"text, font",Envirobase,,"march, progress, forward",,,,,We March Forward Because We Will Not Go Backward,,March Forward,"encouragement, solidarity",other,"assertive, determined",resistance,"block, sans serif",text,print
100D0001_DSC2871,"resistance,rage,determined,encouragement,call to action",,"green, yellow, text, font, number",,,"forward, progress",,,,,Forward Not Backward,,Forward Not Backward,"encouragement, call to action",other,"rage, determined",resistance,"block, hand-written",text,marker
100D0001_DSC2872,"black lives matter,race,assertive,determined,demand,encouragement",,"text, font, banner, advertising",,,"justice, peace, woke",,,,"the hashtagged phrases are written much smaller in between ""No Justice No Peace""","#staywoke, No Justice, No Peace, #blacklivesmatter",rainbow flag on the bottom,No Justice No Peace,"demand, encouragement","famous protest slogan (e.g. we shall overcome, black lives matter)","assertive, determined","black lives matter, race","block, hand-written",text,marker
100D0001_DSC2873,"election,trump,assertive,rejection",,"text, drawing, sketch, artwork, font",,,"not my president, no justice no peace",,,,,NOT MY PRESIDENT ,text,NOT MY PRESIDENT,rejection,famous protest slogan,assertive,"election, trump","block, hand-written",text,drawing
100D0001_DSC2874,"institutions/supreme court/political parties,exploitation,wealth inequality,indignation,complaint",,"text, font, drawing, product, art",,"'they' could be republicans, Trumps, wealthy class, PACs, etc.","profit,wage inequality,exploitation",,,wealth inequality,"green, purple, pink, blue, yellow, ",THEIR PROFIT... OUR LO$$,colorful printed letters,Their Profit Our Loss,complaint,,indignation,"institutions/supreme court/political parties, exploitation, wealth inequality","typeface (imitative), decorative",text,"print, marker, collage"
100D0001_DSC2875,"civil rights,race,assertive,solidarity,call to action",,"text, font, calligraphy, writing, handwriting",,,"injustice, justice, MLK",,,,,injustice anywhere is a threat to justice everywhere -MLK,,Injustice Anywhere ,"solidarity, call to action","historic reference (e.g. witch hunts, founding fathers, slavery, etc.)?",assertive,"civil rights, race","block, hand-written",text,marker
100D0001_DSC2876,"gender equality,race,loving,solidarity",,"text, font, circle, design, drawing, graphics, paper",,,"equality, diversity, humanity",,,,,equality diversity humanity,peace sign,Equality,solidarity,other,loving,"gender equality, race",hand-written,"text, drawing",marker
100D0001_DSC2877,"love,loving,solidarity",,"text, font, design, paper, product design",,,"love, equity",,,,,Love Is Love Is Love...,,Love Is Love,solidarity,other,loving,love,cursive,text,marker
100D0001_DSC2878,"feminism,gender equality,love,women's rights,determined,demand",,"text, font, writing","United Methodist Church, BirdLife International, Caprabo, Hadley Learning Community",,"women, hearts, family",,,,,"mothers, daughters, sisters, grandmothers, aunts, and lovers choose with their hearts...... let them.",small american flag on the bottom,Let Them,demand,other,determined,"feminism, gender equality, love, women's rights",sans serif,"text, illustration",print
100D0001_DSC2879,"feminism,gender equality,women's rights,assertive,encouragement,solidarity",,"text, font, calligraphy, design, product",,,"strength, women, feminism, acknowledgement",,,,,"here's to strong women",,"Here's to Strong Women","encouragement, solidarity",other,assertive,"feminism, gender equality, women's rights","cursive, decorative, hand-written",text,marker
100D0001_DSC2880,"feminism,women's rights,assertive,solidarity",,"text, yellow, font, line, calligraphy",,,"girls, feminism, future",,,,,Girls Are The Future,,Girls Are The Future,solidarity,other,assertive,"feminism, women's rights",hand-written,text,marker
100D0001_DSC2881,"institutions/supreme court/political parties,equality,determined,solidarity",,"text, font, design, product, banner",,,"pledge,allegiance,flag",reference to pledge to show unity,,pledge,,With Liberty and Justice for ALL,"black red and blue text, American flag design inside block letters ""ALL""",With Liberty and Justice for ALL,solidarity,"historic reference (e.g. witch hunts, founding fathers, slavery, etc.)?, pledge of allegiance",determined,"institutions/supreme court/political parties, equality","block, decorative","text, illustration",marker
100D0001_DSC2882,"black lives matter,police brutality,race,assertive,rage,determined,solidarity,call to action",,"text, font, art, design, drawing",,,"race, racism, equity",,,,"""black lives"" are in black cursive, ""matter"" is in blue and red block letters",Black lives MATTER,,Black Lives Matter,"solidarity, call to action","famous protest slogan (e.g. we shall overcome, black lives matter)","assertive, rage, determined","black lives matter, police brutality, race","block, cursive, hand-written",text,marker
100D0001_DSC2883,"hate,love,trump,loving,encouragement,solidarity",,"pink, font, product",,,"love, hate, trump",,,,,Love Trumps Hate,pink heart in four corners,Love Trumps Hate,"encouragement, solidarity","famous protest slogan (e.g. we shall overcome, black lives matter)",loving,"hate, love, trump","block, hand-written","text, drawing",marker
100D0001_DSC2884,"feminism,gender equality,women's rights,assertive,determined,solidarity",,"blue, text, font, design, product design",,,"women, rights, feminism",,,,,"women's right are human rights!",,"Women's Rights",solidarity,"famous protest slogan (e.g. we shall overcome, black lives matter)","assertive, determined","feminism, gender equality, women's rights","block, hand-written",text,marker
100D0001_DSC2885,"feminism,gender equality,women's rights,assertive,demand",,"text, font, calligraphy, design, writing",,,"women, rights, human",,,,,"women's rights are human rights",,"Women's Rights Are Human Rights",demand,"famous protest slogan (e.g. we shall overcome, black lives matter)",assertive,"feminism, gender equality, women's rights","block, hand-written",text,marker
100D0001_DSC2886,"love,trump,loving,encouragement,solidarity",,"text, font, design, art, calligraphy",,,"love, trump",,,,,"i'm for love not trump","two rainbow hearts surrounding the word ""love"" and two thumbs down on either side of the word ""trump""",Love Not Trump,"encouragement, solidarity",other,loving,"love, trump","block, decorative, hand-written","text, drawing",marker
100D0001_DSC2887,"resistance,assertive,demand,threat",,"text, font, paper, product",,,,,,play on words,,Respect existence or expect resistance,,Respect Existence,"demand, threat","famous protest slogan (e.g. we shall overcome, black lives matter)",assertive,resistance,"block, hand-written",text,marker
100D0001_DSC2888,"resistance,determined,solidarity,call to action",,"text, font, art, design, graphic design, graphics",,,"unity,solidarity,franklin,divided","missing ""divided we fall"", benjamin franklin quote originally (american revolution)",,"unity, activism",,UNITED WE STAND,"block text (green, pink, blue)",United We Stand,"solidarity, call to action","famous protest slogan (e.g. we shall overcome, black lives matter), historic reference (e.g. witch hunts, founding fathers, slavery, etc.)?",determined,resistance,block,text,"marker, kids drawing, paint"
